Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
FURY518,26,Female,16,Single,3,3,36384,66
FURY518,26,Male,16,Partnered,4,4,44343,132
FURY518,26,Male,16,Single,3,3,50028,85
FURY518,27,Female,14,Partnered,3,2,45480,66
FURY518,27,Male,16,Single,4,3,54576,85
FURY518,27,Female,14,Partnered,2,3,45480,56
FURY518,28,Female,14,Partnered,2,3,46617,56
FURY518,28,Female,16,Partnered,2,3,52302,66
FURY518,28,Male,14,Single,3,3,52302,103
FURY518,28,Female,14,Partnered,3,3,54576,94
FURY518,28,Male,14,Single,4,3,54576,113
FURY518,28,Female,16,Partnered,3,3,51165,56
FURY518,29,Male,18,Partnered,3,3,68220,85
FURY518,29,Female,14,Partnered,2,2,46617,38
FURY518,29,Female,16,Partnered,4,3,50028,94
FURY518,30,Male,14,Partnered,4,4,46617,141
FURY518,30,Male,14,Single,3,3,54576,85
FURY518,31,Male,14,Partnered,2,2,54576,47
FURY518,31,Female,14,Single,2,2,45480,47
FURY518,32,Female,14,Single,3,4,46617,113
FURY518,32,Male,14,Partnered,4,3,52302,85
FURY518,33,Female,16,Single,2,2,55713,38
FURY518,33,Female,16,Partnered,3,3,46617,85
FURY518,34,Male,16,Single,4,5,51165,169
FURY518,34,Female,16,Single,2,2,52302,66
FURY518,35,Male,16,Partnered,4,3,48891,85
FURY518,35,Female,16,Partnered,3,3,60261,94
FURY518,35,Female,18,Single,3,3,67083,85
FURY518,36,Male,12,Single,4,3,44343,94
FURY518,37,Female,16,Partnered,3,3,37521,85
FURY518,38,Male,16,Partnered,3,3,46617,75
FURY518,38,Female,14,Partnered,2,3,54576,56
FURY518,38,Male,14,Single,2,3,52302,56
FURY518,38,Male,16,Partnered,3,3,56850,75
FURY518,39,Male,16,Partnered,4,4,59124,132
FURY518,40,Male,16,Partnered,3,3,61398,66
FURY518,41,Male,16,Partnered,4,3,54576,103
FURY518,43,Male,16,Partnered,3,3,53439,66
FURY518,44,Female,16,Single,3,4,57987,75
FURY518,46,Female,16,Partnered,3,2,60261,47
FURY518,47,Male,16,Partnered,4,3,56850,94
FURY518,50,Female,16,Partnered,3,3,64809,66
DRYFT,19,Male,14,Single,3,3,31836,64
DRYFT,20,Male,14,Single,2,3,32973,53
DRYFT,20,Female,14,Partnered,3,3,34110,106
DRYFT,20,Male,14,Single,3,3,38658,95
DRYFT,21,Female,14,Partnered,5,4,34110,212
DRYFT,21,Male,16,Partnered,2,2,34110,42
DRYFT,21,Male,12,Partnered,2,2,32973,53
DRYFT,23,Male,14,Partnered,3,3,36384,95
DRYFT,23,Male,14,Partnered,3,3,38658,85
DRYFT,23,Female,16,Single,3,3,45480,95
DRYFT,23,Male,16,Partnered,4,3,45480,127
DRYFT,23,Female,16,Partnered,3,2,43206,74
DRYFT,23,Female,14,Single,3,2,40932,53
DRYFT,23,Male,16,Partnered,3,3,45480,64
DRYFT,24,Female,14,Single,3,2,40932,85
DRYFT,24,Male,14,Single,3,4,48891,106
DRYFT,24,Female,16,Single,3,3,50028,106
DRYFT,25,Female,14,Partnered,2,3,45480,85
DRYFT,25,Female,14,Single,3,4,43206,127
DRYFT,25,Male,16,Partnered,2,2,52302,42
DRYFT,25,Female,14,Partnered,5,3,47754,106
DRYFT,25,Male,14,Single,3,3,45480,95
DRYFT,25,Female,14,Single,2,3,43206,64
DRYFT,25,Male,14,Partnered,4,3,45480,170
DRYFT,25,Male,14,Partnered,3,4,43206,106
DRYFT,25,Male,16,Partnered,2,3,50028,53
DRYFT,25,Female,14,Single,2,2,45480,42
DRYFT,25,Male,14,Single,4,3,48891,127
DRYFT,26,Female,16,Partnered,4,3,45480,85
DRYFT,26,Female,16,Single,4,4,50028,127
DRYFT,26,Male,16,Single,4,3,51165,106
DRYFT,27,Male,14,Single,4,2,45480,53
DRYFT,29,Female,14,Partnered,3,3,51165,95
DRYFT,30,Female,14,Single,3,3,57987,74
DRYFT,30,Female,13,Single,4,3,46617,106
DRYFT,31,Male,16,Partnered,3,3,52302,95
DRYFT,31,Female,16,Partnered,2,3,51165,64
DRYFT,31,Female,18,Single,2,1,65220,21
DRYFT,32,Male,16,Single,4,3,60261,127
DRYFT,32,Male,16,Partnered,3,3,53439,95
DRYFT,33,Male,13,Partnered,4,4,53439,170
DRYFT,33,Female,16,Partnered,2,3,50028,85
DRYFT,33,Male,16,Partnered,3,3,51165,95
DRYFT,33,Female,16,Partnered,5,3,53439,95
DRYFT,33,Female,18,Single,3,4,47754,74
DRYFT,34,Female,16,Partnered,4,3,64809,95
DRYFT,34,Male,16,Partnered,3,4,59124,85
DRYFT,34,Male,15,Single,3,3,67083,85
DRYFT,35,Female,14,Partnered,3,2,52302,53
DRYFT,35,Male,16,Partnered,3,2,53439,53
DRYFT,35,Female,16,Single,3,2,50028,64
DRYFT,35,Male,16,Partnered,3,3,53439,95
DRYFT,37,Female,16,Partnered,2,3,48891,85
DRYFT,38,Female,16,Partnered,4,3,62535,85
DRYFT,38,Male,16,Partnered,3,3,59124,106
DRYFT,40,Female,16,Partnered,3,3,61398,85
DRYFT,40,Female,16,Single,3,3,57987,85
DRYFT,40,Male,16,Partnered,3,3,64809,95
DRYFT,45,Male,16,Partnered,2,2,54576,42
DRYFT,48,Male,16,Partnered,2,3,57987,64
RUSH,22,Male,14,Single,4,3,48658,106
RUSH,22,Male,16,Single,3,5,54781,120
RUSH,22,Male,18,Single,4,5,48556,200
RUSH,23,Male,16,Single,4,5,58516,140
RUSH,23,Female,18,Single,5,4,53536,100
RUSH,23,Male,16,Single,4,5,48556,100
RUSH,24,Male,16,Single,4,5,61006,100
RUSH,24,Male,18,Partnered,4,5,57271,80
RUSH,24,Female,16,Single,5,5,52291,200
RUSH,24,Male,16,Single,5,5,49801,160
RUSH,25,Male,16,Partnered,4,5,49801,120
RUSH,25,Male,16,Partnered,4,4,62251,160
RUSH,25,Female,18,Partnered,5,5,61006,200
RUSH,25,Male,18,Partnered,4,3,64741,100
RUSH,25,Male,18,Partnered,6,4,70966,180
RUSH,25,Male,18,Partnered,6,5,75946,240
RUSH,25,Male,20,Partnered,4,5,74701,170
RUSH,26,Female,21,Single,4,3,69721,100
RUSH,26,Male,16,Partnered,5,4,64741,180
RUSH,27,Male,16,Partnered,4,5,83416,160
RUSH,27,Male,18,Single,4,3,88396,100
RUSH,27,Male,21,Partnered,4,4,90886,100
RUSH,28,Female,18,Partnered,6,5,92131,180
RUSH,28,Male,18,Partnered,7,5,77191,180
RUSH,28,Male,18,Single,6,5,88396,150
RUSH,29,Male,18,Single,5,5,52290,180
RUSH,29,Male,14,Partnered,7,5,85906,300
RUSH,30,Female,16,Partnered,6,5,90886,280
RUSH,30,Male,18,Partnered,5,4,103336,160
RUSH,30,Male,18,Partnered,5,5,99601,150
RUSH,31,Male,16,Partnered,6,5,89641,260
RUSH,33,Female,18,Partnered,4,5,95866,200
RUSH,34,Male,16,Single,5,5,92131,150
RUSH,35,Male,16,Partnered,4,5,92131,360
RUSH,38,Male,18,Partnered,5,5,104581,150
RUSH,40,Male,21,Single,6,5,83416,200
RUSH,42,Male,18,Single,5,4,89641,200
RUSH,45,Male,16,Single,5,5,90886,160
RUSH,47,Male,18,Partnered,4,5,104581,120
RUSH,48,Male,18,Partnered,4,5,95508,180
FURY518,18,Male,14,Single,3,4,29562,112
FURY518,19,Male,15,Single,2,3,31836,75
FURY518,19,Female,14,Partnered,4,3,30699,66
FURY518,19,Male,12,Single,3,3,32973,85
FURY518,20,Male,13,Partnered,4,2,35247,47
FURY518,20,Female,14,Partnered,3,3,32973,66
FURY518,21,Female,14,Partnered,3,3,35247,75
FURY518,21,Male,13,Single,3,3,32973,85
FURY518,21,Male,15,Single,5,4,35247,141
FURY518,21,Female,15,Partnered,2,3,37521,85
FURY518,22,Male,14,Single,3,3,36384,85
FURY518,22,Female,14,Partnered,3,2,35247,66
FURY518,22,Female,16,Single,4,3,36384,75
FURY518,22,Female,14,Single,3,3,35247,75
FURY518,23,Male,16,Partnered,3,1,38658,47
FURY518,23,Male,16,Partnered,3,3,40932,75
FURY518,23,Female,14,Single,2,3,34110,103
FURY518,23,Male,16,Partnered,4,3,39795,94
FURY518,23,Female,16,Single,4,3,38658,113
FURY518,23,Female,15,Partnered,2,2,34110,38
FURY518,23,Male,14,Single,4,3,38658,113
FURY518,23,Male,16,Single,4,3,40932,94
FURY518,24,Female,16,Single,4,3,42069,94
FURY518,24,Female,16,Partnered,5,5,44343,188
FURY518,24,Male,14,Single,2,3,45480,113
FURY518,24,Male,13,Partnered,3,2,42069,47
FURY518,24,Female,16,Single,4,3,46617,75
FURY518,25,Female,14,Partnered,3,3,48891,75
FURY518,25,Male,14,Partnered,2,3,45480,56
FURY518,25,Female,14,Partnered,2,2,53439,47
FURY518,25,Female,14,Partnered,3,3,39795,85
FURY518,25,Male,16,Single,3,4,40932,113
FURY518,25,Female,16,Partnered,2,2,40932,47
FURY518,25,Male,16,Single,3,3,43206,85
FURY518,26,Female,14,Partnered,3,4,44343,113
FURY518,26,Female,16,Partnered,4,3,52302,113
FURY518,26,Male,16,Partnered,2,2,53439,47
FURY518,26,Male,16,Partnered,3,3,51165,85
FURY518,26,Female,16,Single,3,3,36384,66
FURY518,26,Male,16,Partnered,4,4,44343,132
FURY518,26,Male,16,Single,3,3,50028,85
FURY518,27,Female,14,Partnered,3,2,45480,66
FURY518,27,Male,16,Single,4,3,54576,85
FURY518,27,Female,14,Partnered,2,3,45480,56
FURY518,28,Female,14,Partnered,2,3,46617,56
FURY518,28,Female,16,Partnered,2,3,52302,66
FURY518,28,Male,14,Single,3,3,52302,103
FURY518,28,Female,14,Partnered,3,3,54576,94
FURY518,28,Male,14,Single,4,3,54576,113
FURY518,28,Female,16,Partnered,3,3,51165,56
FURY518,29,Male,18,Partnered,3,3,68220,85
FURY518,29,Female,14,Partnered,2,2,46617,38
FURY518,29,Female,16,Partnered,4,3,50028,94
FURY518,30,Male,14,Partnered,4,4,46617,141
FURY518,30,Male,14,Single,3,3,54576,85
FURY518,31,Male,14,Partnered,2,2,54576,47
FURY518,31,Female,14,Single,2,2,45480,47
FURY518,32,Female,14,Single,3,4,46617,113
FURY518,32,Male,14,Partnered,4,3,52302,85
FURY518,33,Female,16,Single,2,2,55713,38
FURY518,33,Female,16,Partnered,3,3,46617,85
FURY518,34,Male,16,Single,4,5,51165,169
FURY518,34,Female,16,Single,2,2,52302,66
FURY518,35,Male,16,Partnered,4,3,48891,85
FURY518,35,Female,16,Partnered,3,3,60261,94
FURY518,35,Female,18,Single,3,3,67083,85
FURY518,36,Male,12,Single,4,3,44343,94
FURY518,37,Female,16,Partnered,3,3,37521,85
FURY518,38,Male,16,Partnered,3,3,46617,75
FURY518,38,Female,14,Partnered,2,3,54576,56
FURY518,38,Male,14,Single,2,3,52302,56
FURY518,38,Male,16,Partnered,3,3,56850,75
FURY518,39,Male,16,Partnered,4,4,59124,132
FURY518,40,Male,16,Partnered,3,3,61398,66
FURY518,41,Male,16,Partnered,4,3,54576,103
FURY518,43,Male,16,Partnered,3,3,53439,66
FURY518,44,Female,16,Single,3,4,57987,75
FURY518,46,Female,16,Partnered,3,2,60261,47
FURY518,47,Male,16,Partnered,4,3,56850,94
FURY518,50,Female,16,Partnered,3,3,64809,66
DRYFT,19,Male,14,Single,3,3,31836,64
DRYFT,20,Male,14,Single,2,3,32973,53
DRYFT,20,Female,14,Partnered,3,3,34110,106
DRYFT,20,Male,14,Single,3,3,38658,95
DRYFT,21,Female,14,Partnered,5,4,34110,212
DRYFT,21,Male,16,Partnered,2,2,34110,42
DRYFT,21,Male,12,Partnered,2,2,32973,53
DRYFT,23,Male,14,Partnered,3,3,36384,95
DRYFT,23,Male,14,Partnered,3,3,38658,85
DRYFT,23,Female,16,Single,3,3,45480,95
DRYFT,23,Male,16,Partnered,4,3,45480,127
DRYFT,23,Female,16,Partnered,3,2,43206,74
DRYFT,23,Female,14,Single,3,2,40932,53
DRYFT,23,Male,16,Partnered,3,3,45480,64
DRYFT,24,Female,14,Single,3,2,40932,85
DRYFT,24,Male,14,Single,3,4,48891,106
DRYFT,24,Female,16,Single,3,3,50028,106
DRYFT,25,Female,14,Partnered,2,3,45480,85
DRYFT,25,Female,14,Single,3,4,43206,127
DRYFT,25,Male,16,Partnered,2,2,52302,42
DRYFT,25,Female,14,Partnered,5,3,47754,106
DRYFT,25,Male,14,Single,3,3,45480,95
DRYFT,25,Female,14,Single,2,3,43206,64
DRYFT,25,Male,14,Partnered,4,3,45480,170
DRYFT,25,Male,14,Partnered,3,4,43206,106
DRYFT,25,Male,16,Partnered,2,3,50028,53
DRYFT,25,Female,14,Single,2,2,45480,42
DRYFT,25,Male,14,Single,4,3,48891,127
DRYFT,26,Female,16,Partnered,4,3,45480,85
DRYFT,26,Female,16,Single,4,4,50028,127
DRYFT,26,Male,16,Single,4,3,51165,106
DRYFT,27,Male,14,Single,4,2,45480,53
DRYFT,29,Female,14,Partnered,3,3,51165,95
DRYFT,30,Female,14,Single,3,3,57987,74
DRYFT,30,Female,13,Single,4,3,46617,106
DRYFT,31,Male,16,Partnered,3,3,52302,95
DRYFT,31,Female,16,Partnered,2,3,51165,64
DRYFT,31,Female,18,Single,2,1,65220,21
DRYFT,32,Male,16,Single,4,3,60261,127
DRYFT,32,Male,16,Partnered,3,3,53439,95
DRYFT,33,Male,13,Partnered,4,4,53439,170
DRYFT,33,Female,16,Partnered,2,3,50028,85
DRYFT,33,Male,16,Partnered,3,3,51165,95
DRYFT,33,Female,16,Partnered,5,3,53439,95
DRYFT,33,Female,18,Single,3,4,47754,74
DRYFT,34,Female,16,Partnered,4,3,64809,95
DRYFT,34,Male,16,Partnered,3,4,59124,85
DRYFT,34,Male,15,Single,3,3,67083,85
DRYFT,35,Female,14,Partnered,3,2,52302,53
DRYFT,35,Male,16,Partnered,3,2,53439,53
DRYFT,35,Female,16,Single,3,2,50028,64
DRYFT,35,Male,16,Partnered,3,3,53439,95
DRYFT,37,Female,16,Partnered,2,3,48891,85
DRYFT,38,Female,16,Partnered,4,3,62535,85
DRYFT,38,Male,16,Partnered,3,3,59124,106
DRYFT,40,Female,16,Partnered,3,3,61398,85
DRYFT,40,Female,16,Single,3,3,57987,85
DRYFT,40,Male,16,Partnered,3,3,64809,95
DRYFT,45,Male,16,Partnered,2,2,54576,42
DRYFT,48,Male,16,Partnered,2,3,57987,64
RUSH,22,Male,14,Single,4,3,48658,106
RUSH,22,Male,16,Single,3,5,54781,120
RUSH,22,Male,18,Single,4,5,48556,200
RUSH,23,Male,16,Single,4,5,58516,140
RUSH,23,Female,18,Single,5,4,53536,100
RUSH,23,Male,16,Single,4,5,48556,100
RUSH,24,Male,16,Single,4,5,61006,100
RUSH,24,Male,18,Partnered,4,5,57271,80
RUSH,24,Female,16,Single,5,5,52291,200
RUSH,24,Male,16,Single,5,5,49801,160
RUSH,25,Male,16,Partnered,4,5,49801,120
RUSH,25,Male,16,Partnered,4,4,62251,160
RUSH,25,Female,18,Partnered,5,5,61006,200
RUSH,25,Male,18,Partnered,4,3,64741,100
RUSH,25,Male,18,Partnered,6,4,70966,180
RUSH,25,Male,18,Partnered,6,5,75946,240
RUSH,25,Male,20,Partnered,4,5,74701,170
RUSH,26,Female,21,Single,4,3,69721,100
RUSH,26,Male,16,Partnered,5,4,64741,180
RUSH,27,Male,16,Partnered,4,5,83416,160
RUSH,27,Male,18,Single,4,3,88396,100
RUSH,27,Male,21,Partnered,4,4,90886,100
RUSH,28,Female,18,Partnered,6,5,92131,180
RUSH,28,Male,18,Partnered,7,5,77191,180
RUSH,28,Male,18,Single,6,5,88396,150
RUSH,29,Male,18,Single,5,5,52290,180
RUSH,29,Male,14,Partnered,7,5,85906,300
RUSH,30,Female,16,Partnered,6,5,90886,280
RUSH,30,Male,18,Partnered,5,4,103336,160
RUSH,30,Male,18,Partnered,5,5,99601,150
RUSH,31,Male,16,Partnered,6,5,89641,260
RUSH,33,Female,18,Partnered,4,5,95866,200
RUSH,34,Male,16,Single,5,5,92131,150
RUSH,35,Male,16,Partnered,4,5,92131,360
RUSH,38,Male,18,Partnered,5,5,104581,150
RUSH,40,Male,21,Single,6,5,83416,200
RUSH,42,Male,18,Single,5,4,89641,200
RUSH,45,Male,16,Single,5,5,90886,160
RUSH,47,Male,18,Partnered,4,5,104581,120
RUSH,48,Male,18,Partnered,4,5,95508,180
FURY518,19,Female,14,Partnered,4,3,30699,66
FURY518,19,Male,12,Single,3,3,32973,85
FURY518,20,Male,13,Partnered,4,2,35247,47
FURY518,20,Female,14,Partnered,3,3,32973,66
FURY518,21,Female,14,Partnered,3,3,35247,75
FURY518,21,Male,13,Single,3,3,32973,85
FURY518,21,Male,15,Single,5,4,35247,141
FURY518,21,Female,15,Partnered,2,3,37521,85
FURY518,22,Male,14,Single,3,3,36384,85
FURY518,22,Female,14,Partnered,3,2,35247,66
FURY518,22,Female,16,Single,4,3,36384,75
FURY518,22,Female,14,Single,3,3,35247,75
FURY518,23,Male,16,Partnered,3,1,38658,47
FURY518,23,Male,16,Partnered,3,3,40932,75
FURY518,23,Female,14,Single,2,3,34110,103
FURY518,23,Male,16,Partnered,4,3,39795,94
FURY518,23,Female,16,Single,4,3,38658,113
FURY518,23,Female,15,Partnered,2,2,34110,38
FURY518,23,Male,14,Single,4,3,38658,113
FURY518,23,Male,16,Single,4,3,40932,94
FURY518,24,Female,16,Single,4,3,42069,94
FURY518,24,Female,16,Partnered,5,5,44343,188
FURY518,24,Male,14,Single,2,3,45480,113
FURY518,24,Male,13,Partnered,3,2,42069,47
FURY518,24,Female,16,Single,4,3,46617,75
FURY518,25,Female,14,Partnered,3,3,48891,75
FURY518,25,Male,14,Partnered,2,3,45480,56
FURY518,25,Female,14,Partnered,2,2,53439,47
FURY518,25,Female,14,Partnered,3,3,39795,85
FURY518,25,Male,16,Single,3,4,40932,113
FURY518,25,Female,16,Partnered,2,2,40932,47
FURY518,25,Male,16,Single,3,3,43206,85
FURY518,26,Female,14,Partnered,3,4,44343,113
FURY518,26,Female,16,Partnered,4,3,52302,113
FURY518,26,Male,16,Partnered,2,2,53439,47
FURY518,26,Male,16,Partnered,3,3,51165,85
FURY518,26,Female,16,Single,3,3,36384,66
FURY518,26,Male,16,Partnered,4,4,44343,132
FURY518,26,Male,16,Single,3,3,50028,85
FURY518,27,Female,14,Partnered,3,2,45480,66
FURY518,27,Male,16,Single,4,3,54576,85
FURY518,27,Female,14,Partnered,2,3,45480,56
FURY518,28,Female,14,Partnered,2,3,46617,56
FURY518,28,Female,16,Partnered,2,3,52302,66
FURY518,28,Male,14,Single,3,3,52302,103
FURY518,28,Female,14,Partnered,3,3,54576,94
FURY518,28,Male,14,Single,4,3,54576,113
FURY518,28,Female,16,Partnered,3,3,51165,56
FURY518,29,Male,18,Partnered,3,3,68220,85
FURY518,29,Female,14,Partnered,2,2,46617,38
FURY518,29,Female,16,Partnered,4,3,50028,94
FURY518,30,Male,14,Partnered,4,4,46617,141
FURY518,30,Male,14,Single,3,3,54576,85
FURY518,31,Male,14,Partnered,2,2,54576,47
FURY518,31,Female,14,Single,2,2,45480,47
FURY518,32,Female,14,Single,3,4,46617,113
FURY518,32,Male,14,Partnered,4,3,52302,85
FURY518,33,Female,16,Single,2,2,55713,38
FURY518,33,Female,16,Partnered,3,3,46617,85
FURY518,34,Male,16,Single,4,5,51165,169
FURY518,34,Female,16,Single,2,2,52302,66
FURY518,35,Male,16,Partnered,4,3,48891,85
FURY518,35,Female,16,Partnered,3,3,60261,94
FURY518,35,Female,18,Single,3,3,67083,85
FURY518,36,Male,12,Single,4,3,44343,94
FURY518,37,Female,16,Partnered,3,3,37521,85
FURY518,38,Male,16,Partnered,3,3,46617,75
FURY518,38,Female,14,Partnered,2,3,54576,56
FURY518,38,Male,14,Single,2,3,52302,56
FURY518,38,Male,16,Partnered,3,3,56850,75
FURY518,39,Male,16,Partnered,4,4,59124,132
FURY518,40,Male,16,Partnered,3,3,61398,66
FURY518,41,Male,16,Partnered,4,3,54576,103
FURY518,43,Male,16,Partnered,3,3,53439,66
FURY518,44,Female,16,Single,3,4,57987,75
FURY518,46,Female,16,Partnered,3,2,60261,47
FURY518,47,Male,16,Partnered,4,3,56850,94
FURY518,50,Female,16,Partnered,3,3,64809,66
DRYFT,19,Male,14,Single,3,3,31836,64
DRYFT,20,Male,14,Single,2,3,32973,53
DRYFT,20,Female,14,Partnered,3,3,34110,106
DRYFT,20,Male,14,Single,3,3,38658,95
DRYFT,21,Female,14,Partnered,5,4,34110,212
DRYFT,21,Male,16,Partnered,2,2,34110,42
DRYFT,21,Male,12,Partnered,2,2,32973,53
DRYFT,23,Male,14,Partnered,3,3,36384,95
DRYFT,23,Male,14,Partnered,3,3,38658,85
DRYFT,23,Female,16,Single,3,3,45480,95
DRYFT,23,Male,16,Partnered,4,3,45480,127
DRYFT,23,Female,16,Partnered,3,2,43206,74
DRYFT,23,Female,14,Single,3,2,40932,53
DRYFT,23,Male,16,Partnered,3,3,45480,64
DRYFT,24,Female,14,Single,3,2,40932,85
DRYFT,24,Male,14,Single,3,4,48891,106
DRYFT,24,Female,16,Single,3,3,50028,106
DRYFT,25,Female,14,Partnered,2,3,45480,85
DRYFT,25,Female,14,Single,3,4,43206,127
DRYFT,25,Male,16,Partnered,2,2,52302,42
DRYFT,25,Female,14,Partnered,5,3,47754,106
DRYFT,25,Male,14,Single,3,3,45480,95
DRYFT,25,Female,14,Single,2,3,43206,64
DRYFT,25,Male,14,Partnered,4,3,45480,170
DRYFT,25,Male,14,Partnered,3,4,43206,106
DRYFT,25,Male,16,Partnered,2,3,50028,53
DRYFT,25,Female,14,Single,2,2,45480,42
DRYFT,25,Male,14,Single,4,3,48891,127
DRYFT,26,Female,16,Partnered,4,3,45480,85
DRYFT,26,Female,16,Single,4,4,50028,127
DRYFT,26,Male,16,Single,4,3,51165,106
DRYFT,27,Male,14,Single,4,2,45480,53
DRYFT,29,Female,14,Partnered,3,3,51165,95
DRYFT,30,Female,14,Single,3,3,57987,74
DRYFT,30,Female,13,Single,4,3,46617,106
DRYFT,31,Male,16,Partnered,3,3,52302,95
DRYFT,31,Female,16,Partnered,2,3,51165,64
DRYFT,31,Female,18,Single,2,1,65220,21
DRYFT,32,Male,16,Single,4,3,60261,127
DRYFT,32,Male,16,Partnered,3,3,53439,95
DRYFT,33,Male,13,Partnered,4,4,53439,170
DRYFT,33,Female,16,Partnered,2,3,50028,85
DRYFT,33,Male,16,Partnered,3,3,51165,95
DRYFT,33,Female,16,Partnered,5,3,53439,95
DRYFT,33,Female,18,Single,3,4,47754,74
DRYFT,34,Female,16,Partnered,4,3,64809,95
DRYFT,34,Male,16,Partnered,3,4,59124,85
DRYFT,34,Male,15,Single,3,3,67083,85
DRYFT,35,Female,14,Partnered,3,2,52302,53
DRYFT,35,Male,16,Partnered,3,2,53439,53
DRYFT,35,Female,16,Single,3,2,50028,64
DRYFT,35,Male,16,Partnered,3,3,53439,95
DRYFT,37,Female,16,Partnered,2,3,48891,85
DRYFT,38,Female,16,Partnered,4,3,62535,85
DRYFT,38,Male,16,Partnered,3,3,59124,106
DRYFT,40,Female,16,Partnered,3,3,61398,85
DRYFT,40,Female,16,Single,3,3,57987,85
DRYFT,40,Male,16,Partnered,3,3,64809,95
DRYFT,45,Male,16,Partnered,2,2,54576,42
DRYFT,48,Male,16,Partnered,2,3,57987,64
RUSH,22,Male,14,Single,4,3,48658,106
RUSH,22,Male,16,Single,3,5,54781,120
RUSH,22,Male,18,Single,4,5,48556,200
RUSH,23,Male,16,Single,4,5,58516,140
RUSH,23,Female,18,Single,5,4,53536,100
RUSH,23,Male,16,Single,4,5,48556,100
RUSH,24,Male,16,Single,4,5,61006,100
RUSH,24,Male,18,Partnered,4,5,57271,80
RUSH,24,Female,16,Single,5,5,52291,200
RUSH,24,Male,16,Single,5,5,49801,160
RUSH,25,Male,16,Partnered,4,5,49801,120
RUSH,25,Male,16,Partnered,4,4,62251,160
RUSH,25,Female,18,Partnered,5,5,61006,200
RUSH,25,Male,18,Partnered,4,3,64741,100
RUSH,25,Male,18,Partnered,6,4,70966,180
RUSH,25,Male,18,Partnered,6,5,75946,240
RUSH,25,Male,20,Partnered,4,5,74701,170
RUSH,26,Female,21,Single,4,3,69721,100
RUSH,26,Male,16,Partnered,5,4,64741,180
RUSH,27,Male,16,Partnered,4,5,83416,160
RUSH,27,Male,18,Single,4,3,88396,100
RUSH,27,Male,21,Partnered,4,4,90886,100
RUSH,28,Female,18,Partnered,6,5,92131,180
RUSH,28,Male,18,Partnered,7,5,77191,180
RUSH,28,Male,18,Single,6,5,88396,150
RUSH,29,Male,18,Single,5,5,52290,180
RUSH,29,Male,14,Partnered,7,5,85906,300
RUSH,30,Female,16,Partnered,6,5,90886,280
RUSH,30,Male,18,Partnered,5,4,103336,160
RUSH,30,Male,18,Partnered,5,5,99601,150
RUSH,31,Male,16,Partnered,6,5,89641,260
RUSH,33,Female,18,Partnered,4,5,95866,200
RUSH,34,Male,16,Single,5,5,92131,150
RUSH,35,Male,16,Partnered,4,5,92131,360
RUSH,38,Male,18,Partnered,5,5,104581,150
RUSH,40,Male,21,Single,6,5,83416,200
RUSH,42,Male,18,Single,5,4,89641,200
RUSH,45,Male,16,Single,5,5,90886,160
RUSH,47,Male,18,Partnered,4,5,104581,120
RUSH,48,Male,18,Partnered,4,5,95508,180
FURY518,18,Male,14,Single,3,4,29562,112
FURY518,19,Male,15,Single,2,3,31836,75
FURY518,19,Female,14,Partnered,4,3,30699,66
FURY518,19,Male,12,Single,3,3,32973,85
FURY518,20,Male,13,Partnered,4,2,35247,47
FURY518,20,Female,14,Partnered,3,3,32973,66
FURY518,21,Female,14,Partnered,3,3,35247,75
FURY518,21,Male,13,Single,3,3,32973,85
FURY518,21,Male,15,Single,5,4,35247,141
FURY518,21,Female,15,Partnered,2,3,37521,85
FURY518,22,Male,14,Single,3,3,36384,85
FURY518,22,Female,14,Partnered,3,2,35247,66
FURY518,22,Female,16,Single,4,3,36384,75
FURY518,22,Female,14,Single,3,3,35247,75
FURY518,23,Male,16,Partnered,3,1,38658,47
FURY518,23,Male,16,Partnered,3,3,40932,75
FURY518,23,Female,14,Single,2,3,34110,103
FURY518,23,Male,16,Partnered,4,3,39795,94
FURY518,23,Female,16,Single,4,3,38658,113
FURY518,23,Female,15,Partnered,2,2,34110,38
FURY518,23,Male,14,Single,4,3,38658,113
FURY518,23,Male,16,Single,4,3,40932,94
FURY518,24,Female,16,Single,4,3,42069,94
FURY518,24,Female,16,Partnered,5,5,44343,188
FURY518,24,Male,14,Single,2,3,45480,113
FURY518,24,Male,13,Partnered,3,2,42069,47
FURY518,24,Female,16,Single,4,3,46617,75
FURY518,25,Female,14,Partnered,3,3,48891,75
FURY518,25,Male,14,Partnered,2,3,45480,56
FURY518,25,Female,14,Partnered,2,2,53439,47
FURY518,25,Female,14,Partnered,3,3,39795,85
FURY518,25,Male,16,Single,3,4,40932,113
